,frequency,length,syllables
sadly,4.18,5,2
badly,4.44,5,2
loudly,3.79,6,2
safely,4.22,6,3
gently,4.08,6,2
kindly,4.0,6,2
calmly,3.56,6,2
simply,5.08,6,2
easily,4.91,6,3
really,5.97,6,2
angrily,3.34,7,3
happily,4.11,7,3
totally,4.83,7,3
clearly,4.92,7,2
finally,5.17,7,3
quickly,5.0,7,2
actually,5.49,8,3
secretly,4.01,8,3
possibly,4.77,8,3
silently,3.58,8,3
honestly,4.69,8,3
suddenly,4.69,8,3
carefully,4.46,9,4
curiously,3.2,9,3
generally,4.95,9,4
regularly,4.52,9,4
unusually,3.76,9,4
hopefully,4.56,9,4
obviously,4.8,9,3
nervously,3.27,9,3
basically,4.63,9,4
seriously,4.94,9,3
leisurely,3.05,9,4
literally,4.91,9,4
absolutely,4.98,10,5
constantly,4.53,10,3
personally,4.57,10,4
definitely,4.96,10,5
completely,5.0,10,4
apparently,4.8,10,4
creatively,3.1,10,4
frequently,4.56,10,3
potentially,4.39,11,4
dangerously,3.47,11,4
efficiently,3.79,11,4
desperately,3.98,11,5
confidently,3.41,11,4
permanently,4.08,11,4
effortlessly,3.22,12,4
successfully,4.45,12,4
passionately,3.33,12,5
accidentally,4.22,12,5
suspiciously,3.08,12,4
unexpectedly,3.71,12,5
continuously,3.97,12,4
occasionally,4.39,12,5
conveniently,3.58,12,4
individually,3.9,12,5
appropriately,3.74,13,5
independently,4.06,13,5
simultaneously,4.17,14,5
enthusiastically,3.25,16,6
